Client_id,company_name,adress,country,segment
33,Velocity Autoworks,5461 Ann Orchard Suite 551,Sri Lanka,small
34,Quantum Performance,76045 Samantha Road Suite 111,Cuba,medium
35,Hyper Transport,306 Corey Point,Bermuda,medium
36,Velocity Corp,7936 Micheal Green Apt. 635,United Arab Emirates,small
37,Revolution Enterprises,08731 Sanders Fords,Wallis and Futuna,small
38,Iron Transport,92137 Ward Views,Mauritius,big
39,Titan Corp,97296 Rich Park,Vanuatu,big
40,Quantum Industries,7389 Alec Squares Suite 508,Belarus,big
41,Auto Solutions,9269 Robbins Valley,Western Sahara,small
42,Super Transport,18013 Billy Bridge Suite 522,Saint Lucia,big
43,Precision Performance,8688 Audrey Springs Apt. 634,Montenegro,medium
44,Fusion Innovations,6993 Diane Alley Apt. 489,Seychelles,big
45,Dynamic Systems,1744 Cruz Lights Apt. 223,Peru,big
46,Auto Systems,500 Butler Overpass Apt. 256,Niue,medium
47,Super Solutions,767 Craig Tunnel,Trinidad and Tobago,medium
48,Global Technologies,09925 Isabel Run,Togo,medium
49,Zenith Autoworks,67109 Mendez Junction Apt. 942,Algeria,medium
50,NextGen Enterprises,1830 Wallace Throughway Apt. 751,Denmark,medium
51,Auto Works,74089 Jerry Trail,Belize,big
52,Iron Developments,412 Snow Manors Apt. 161,Iceland,small
53,Zenith Trucks,2076 Johnson Way,Holy See (Vatican City State),small
54,Mega Engineering,415 David Square Apt. 552,Viet Nam,small
55,NextGen Transport,51923 Jamie Spring,Kazakhstan,small
56,Turbo Manufacturing,045 Sarah Fort,Luxembourg,big
57,Speed Holdings,71754 Anthony Fords,Tokelau,small
58,Nova Enterprises,7448 White Common Apt. 894,Mongolia,small
59,Iron Autoworks,2235 Joel Ferry,Fiji,big
60,Fusion Fleet,6029 Phillip Squares Apt. 264,Belize,small
61,Power Transport,296 Walsh Corner Apt. 758,Oman,small
62,Pinnacle Innovations,6065 Harris Hill,Singapore,small
63,Revolution Manufacturing,21418 Laura Mission Suite 266,France,small
64,Future Motors,75825 Welch Corners,Georgia,medium
65,Iron Mechanics,40797 Jeffery Crescent Suite 892,Mauritania,medium
66,Global Solutions,717 Amy Lodge Suite 014,Sint Maarten (Dutch part),medium
67,Speed Innovations,46896 Garcia Glen,Slovenia,small
68,Velocity Corp,3910 Laura Inlet Suite 183,Haiti,small
69,Nova Autoworks,64482 Amanda Loop,Guam,medium
70,Mega Designs,447 Carroll Dam Apt. 116,El Salvador,big
71,Iron Performance,728 Gomez Mountains Suite 377,Macao,medium
72,Pinnacle Mechanics,0742 Williams Road Apt. 057,France,big
73,Nova Innovations,81160 Williams River Apt. 443,Jordan,medium
74,Titan Works,431 Murray Isle,Georgia,small
75,Iron Dynamics,56627 Alexandria Curve Apt. 275,Vanuatu,small
76,Speed Manufacturing,7633 Bentley Radial Apt. 603,Iceland,big
77,Velocity Enterprises,50239 Salazar Squares,Bangladesh,small
78,Iron Industries,6708 Carpenter Overpass Suite 735,Serbia,big
79,Super Works,00250 Pena Dam Apt. 639,Puerto Rico,medium
80,Quantum Autoworks,373 Franklin Rest Apt. 558,Romania,medium
81,Hyper Works,4080 Miguel Fords Suite 334,Spain,small
82,Speed Fleet,8647 Wiggins Garden Apt. 481,Niger,medium
83,Fusion Cars,7706 Stevens Crest,Gambia,big
84,Hyper Holdings,31263 Salazar Viaduct,Svalbard and Jan Mayen,small
85,Fusion Tech,602 Tracy Crossroad Suite 556,"Palestine, State of",medium
86,Revolution Industries,498 Jennifer Tunnel,China,big
87,Turbo Corp,978 Nelson Brook Apt. 912,Madagascar,big
88,Elite Motors,34088 Trevino Crossing Suite 419,Iceland,big
89,Ultra Manufacturing,84331 Leonard Fort Suite 749,"Virgin Islands, British",big
90,Turbo Systems,08855 Lisa Wells,United States,medium
91,Velocity Motors,28123 Hudson Square Apt. 323,Heard Island and McDonald Islands,medium
92,Zenith Works,9927 Christina Burg Suite 774,Argentina,medium
93,NextGen Innovations,82778 Padilla Common,Syrian Arab Republic,medium
94,Future Engineering,96354 Acevedo Fords Apt. 535,Haiti,small
95,NextGen Automotive,345 Kevin Knolls Apt. 250,"Palestine, State of",small
96,Elite Developments,003 Alexander Shoal Suite 105,Mexico,medium
97,Global Automotive,37625 Thompson Isle Suite 606,Sri Lanka,big
98,Zenith Manufacturing,870 Robert Loaf Apt. 082,Viet Nam,big
99,NextGen Mechanics,53230 Julia Villages,Kiribati,big
100,Future Fleet,169 Christine Mount,Curaçao,small
101,NextGen Tech,904 Shaffer Street,Romania,small
102,Titan Automotive,07154 Stephen Parkways Suite 265,North Macedonia,small
103,Quantum Developments,6048 Pierce Bypass Suite 076,Eswatini,small
104,Nova Innovations,5700 Singh Bypass,Chile,small
105,Revolution Technologies,943 Hughes Village Suite 319,Nigeria,big
106,Rapid Automotive,98522 Mathis Viaduct Apt. 909,Nigeria,small
107,Global Vehicles,5445 Patton Rapid,Ireland,medium
108,Power Innovations,02907 Matthew Branch Suite 493,"Micronesia, Federated States of",big
109,Quantum Systems,642 Bryan Route,Jordan,medium
110,Elite Works,188 Fischer Grove,Anguilla,big
111,Future Transport,0644 Branch Field Suite 208,Central African Republic,medium
112,Turbo Innovations,965 Herring Points,Kazakhstan,small
113,Global Machines,930 Rice Estate Apt. 570,Philippines,big
114,Pro Corp,342 Miller Mission,Martinique,small
115,Quantum Designs,781 Frank Circles,Afghanistan,small
116,Infinity Automotive,644 Macias Trail Suite 951,Uzbekistan,small
117,NextGen Mechanics,70436 Graham Roads Suite 097,Equatorial Guinea,big
118,Pinnacle Autoworks,294 Short Locks Suite 820,Cocos (Keeling) Islands,big
119,Revolution Industries,550 James Creek,Norfolk Island,small
120,NextGen Designs,50562 Russell Divide Apt. 648,Russian Federation,small
121,Hyper Corp,22708 Madison Spurs,"Iran, Islamic Republic of",big
122,Speed Transport,59118 Lisa Flats Suite 544,Somalia,big
123,Velocity Developments,78209 Darlene Bypass Suite 137,Sweden,big
124,NextGen Vehicles,8252 Ingram Centers,Barbados,big
125,Advanced Fleet,501 Ronald Knoll,Hungary,small
126,Nova Corp,6851 Logan Brooks Apt. 205,Andorra,small
127,Quantum Works,60460 Michael Village,Jamaica,big
128,Titan Fleet,0759 Chambers Port,"Congo, The Democratic Republic of the",medium
129,Velocity Holdings,2074 Stacy Circles Suite 110,Uganda,medium
130,Evo Corp,26905 Gibbs Summit Suite 710,Heard Island and McDonald Islands,small
131,Titan Holdings,0811 Howard Courts Suite 028,Benin,small
132,Turbo Autoworks,06528 Ethan Tunnel Apt. 395,"Iran, Islamic Republic of",big
133,NextGen Machines,6033 Murphy Freeway,Pitcairn,big
134,Zenith Automotive,26759 Paul Trail Apt. 290,Curaçao,big
135,Infinity Fleet,220 Madison Pass Apt. 001,Peru,medium
136,Rapid Designs,60669 Dawson Dam,Azerbaijan,small
137,Iron Tech,386 David Port Suite 166,Saint Vincent and the Grenadines,medium
138,Speed Technologies,6363 Sanders Prairie,Saint Pierre and Miquelon,big
139,Power Works,4858 Cassandra Tunnel,Bosnia and Herzegovina,small
140,Pinnacle Developments,40956 Amanda Walk Apt. 260,French Southern Territories,small
141,Turbo Technologies,661 Munoz Estates Apt. 576,Hong Kong,medium
142,Titan Enterprises,481 Reed Road,Latvia,small
143,Velocity Vehicles,8034 Jennifer Islands Suite 604,Zimbabwe,big
144,Dynamic Tech,64635 David Ridge Suite 206,Portugal,big
145,Titan Technologies,1168 Gary Fords Apt. 308,"Virgin Islands, British",small
146,Zenith Designs,5945 Leah Walk,Suriname,big
147,Ultra Trucks,2585 Rhonda Streets Suite 365,Puerto Rico,medium
148,Super Tech,8466 Frances Drives Apt. 099,Norfolk Island,big
149,Ultra Industries,399 Joseph Street,Portugal,small
150,Ultra Solutions,1001 Roth Orchard,Faroe Islands,medium
151,Power Innovations,75947 Sandra Points Apt. 820,French Polynesia,big
152,Prime Enterprises,693 Erickson Lodge,Pakistan,big
153,Power Corp,92627 Sabrina Unions Apt. 965,Sudan,small
154,Speed Transport,707 Joseph Parkways,Bermuda,small
155,Zenith Innovations,674 Jerry Lakes Apt. 492,Luxembourg,medium
156,Global Transport,17696 Joseph Forks Apt. 425,"Moldova, Republic of",big
157,Zenith Vehicles,02983 Antonio Lodge,Bangladesh,medium
158,Hyper Technologies,178 Baxter Junctions Apt. 033,Colombia,small
159,NextGen Trucks,4307 Arroyo Pass Suite 114,Italy,medium
160,Advanced Autoworks,56234 Julia Orchard Suite 469,Ireland,big
161,Evo Industries,65873 Chen Knolls,Andorra,small
162,Fusion Trucks,5641 Berger Crest Suite 253,Mauritius,small
163,Nova Autoworks,7316 Marshall Mountain,Greenland,big
164,Fusion Solutions,684 Hall Path,Jamaica,big
165,Auto Dynamics,75636 Barbara Canyon,Côte d'Ivoire,big
166,Rapid Industries,43521 Laura Lakes Apt. 300,Argentina,medium
167,Rapid Fleet,021 Christopher Mountain Apt. 089,Papua New Guinea,big
168,Quantum Transport,82336 Wells Alley Suite 360,Bhutan,medium
169,Super Transport,95557 Caitlin Course Suite 114,United States Minor Outlying Islands,small
170,Super Machines,292 Clark Shoals,American Samoa,medium
171,Pro Motors,68818 Heather Mountains Apt. 877,Jersey,medium
172,Hyper Dynamics,8526 Bennett Port,Cook Islands,big
173,Evo Cars,73576 Sergio Avenue Suite 736,Spain,medium
174,Rapid Mechanics,7723 Campbell Shoal,Nauru,big
175,Pro Transport,281 Kevin Path Apt. 025,Yemen,medium
176,Prime Corp,9276 Robert Fields,Guyana,medium
177,Apex Holdings,0583 White Plains,Sint Maarten (Dutch part),medium
178,Elite Motors,97939 Johnson Oval Suite 830,Mali,medium
179,Dynamic Performance,23793 Michelle Throughway,Cameroon,medium
180,Evo Performance,457 Frank Point Suite 767,Luxembourg,medium
181,Apex Technologies,1231 Stephanie Lock Suite 835,Algeria,big
182,Power Autoworks,63169 Fernandez Roads,Saint Pierre and Miquelon,medium
183,Titan Mechanics,287 James Plain,Pitcairn,medium
184,Quantum Transport,97036 Collins Summit,Belize,medium
185,Future Enterprises,90985 Steven Creek,Netherlands,small
186,Global Works,3668 Perez Ramp Suite 102,British Indian Ocean Territory,small
187,Titan Transport,997 Stephanie Pine Suite 656,Jersey,medium
188,Mega Tech,69220 Janice Gateway,Malawi,medium
189,Zenith Autoworks,446 Maurice Landing,Myanmar,medium
190,Quantum Designs,880 Robertson Bridge,Romania,small
191,Turbo Machines,0452 Forbes Courts,Cayman Islands,small
192,Zenith Fleet,49181 Todd Pike Apt. 518,China,small
193,Turbo Fleet,36397 Moore Stravenue,Barbados,small
194,Super Vehicles,337 Terrell Harbor Apt. 154,Uzbekistan,big
195,NextGen Enterprises,19041 Jennifer Flats Suite 716,Cambodia,big
196,Rapid Vehicles,19752 Allen Mews Suite 000,Northern Mariana Islands,big
197,Dynamic Innovations,55840 Melissa Square Apt. 490,Dominica,medium
198,Precision Tech,4934 Lozano Place Suite 716,Martinique,medium
199,Global Innovations,80376 John Inlet Apt. 227,Pitcairn,small
200,Zenith Vehicles,8618 Vincent Grove,"Korea, Democratic People's Republic of",medium
201,Fusion Cars,7028 Harris Drive Apt. 422,Paraguay,medium
202,Titan Holdings,023 Schaefer Squares Apt. 382,"Virgin Islands, British",big
203,Ultra Transport,384 Jennifer Turnpike,Antarctica,small
204,Revolution Enterprises,62686 Paul Pine,United States Minor Outlying Islands,small
205,Global Holdings,21801 Suzanne Gardens Suite 746,Costa Rica,small
206,Infinity Corp,641 Brenda Streets Apt. 008,Kazakhstan,small
207,Pinnacle Designs,737 Carol Pass,Honduras,small
208,Velocity Machines,92555 Shaw Spurs Suite 207,Burundi,medium
209,Infinity Mechanics,657 Alexander Mountains,New Caledonia,small
210,Iron Trucks,559 Foster Locks Suite 933,"Micronesia, Federated States of",medium
211,Elite Innovations,48282 Stark Green Suite 478,Brunei Darussalam,small
212,NextGen Motors,347 Andrew Ranch,Belarus,medium
213,Ultra Developments,0329 Rebecca Shore,Isle of Man,medium
214,Pinnacle Trucks,400 Cathy Expressway Suite 367,Côte d'Ivoire,big
215,Evo Transport,1961 Kayla Bridge Suite 536,Qatar,big
216,Fusion Performance,2272 Willis Wall,Kiribati,small
217,Zenith Innovations,06902 Robert Isle,India,medium
218,Future Fleet,052 Werner Shoals,Belgium,big
219,Nova Transport,7954 Stephen Throughway Apt. 184,Sweden,medium
220,Evo Innovations,762 Miranda Spur Apt. 912,Armenia,big
221,Rapid Manufacturing,1644 Cynthia Pass Apt. 009,Hong Kong,big
222,NextGen Performance,16670 Welch Dam,United States,small
223,Evo Autoworks,693 Jason Burgs,Dominica,big
224,Mega Developments,628 Russell Village,Philippines,medium
225,Evo Tech,782 Dawn Radial,United Kingdom,medium
226,Revolution Cars,97444 Richard Branch,France,big
227,Speed Motors,104 Kendra Village,Iraq,big
228,Precision Manufacturing,50525 Christopher Fords,Togo,medium
229,Super Trucks,5778 Christopher Mill Suite 687,Chile,medium
230,Nova Technologies,132 Poole Pass Suite 212,Belarus,big
231,Infinity Manufacturing,69118 Cunningham Knoll,French Polynesia,medium
232,Hyper Mechanics,9597 Hall Parkway Apt. 655,"Virgin Islands, British",small
233,Turbo Tech,91715 Wang Gardens,North Macedonia,big
234,Iron Trucks,810 Williams Lakes,South Africa,big
235,Pinnacle Systems,4776 Lisa Trail,Samoa,medium
236,Fusion Mechanics,752 Kathleen Neck,Comoros,big
237,Super Developments,4973 Jasmine Road,Bangladesh,small
238,Power Industries,759 Good Port,Serbia,small
239,Fusion Systems,663 James Garden,United States Minor Outlying Islands,small
240,Hyper Cars,3895 Allen Junction,Greece,big
241,Prime Mechanics,3248 Amanda Station,Curaçao,small
242,Nova Trucks,7329 Jacobs Station,Réunion,big
243,Nova Transport,734 Hill Flats,Ukraine,big
244,Apex Cars,5003 Cassandra Estates Suite 148,Mozambique,medium
245,Pinnacle Works,765 Brown Crescent Apt. 524,Somalia,big
246,Pinnacle Developments,8675 Sophia Corners Apt. 180,Barbados,small
247,Quantum Developments,919 Andrew Turnpike Apt. 419,Netherlands,medium
248,Advanced Corp,299 Joshua Estate Apt. 932,Mozambique,medium
249,Prime Works,47429 Harris Dale,Timor-Leste,small
250,Elite Autoworks,39058 Gregory Throughway Suite 194,Montenegro,big
251,Quantum Industries,23906 Dustin Plain,Sri Lanka,medium
252,Speed Automotive,532 Stewart Mills,Dominican Republic,big
253,Fusion Automotive,431 Henry Knoll,Hungary,small
254,Velocity Technologies,48612 Wilson Ramp Apt. 827,Greece,big
255,Speed Developments,4832 Joseph Islands,Vanuatu,medium
256,Elite Corp,056 Dunn Trail Apt. 049,Guinea,big
257,Super Enterprises,963 Harris Corners Apt. 861,"Palestine, State of",big
258,Pinnacle Holdings,203 John Rapid Suite 618,Singapore,big
259,Rapid Industries,337 James Walks,Bhutan,small
260,Infinity Mechanics,293 Burke Way,Barbados,big
261,Turbo Manufacturing,790 Reed Trafficway Apt. 037,Chile,small
262,Super Systems,302 Shawn Course,Senegal,big
263,Quantum Designs,465 Wiley Corners Apt. 759,Saudi Arabia,medium
264,Iron Innovations,26307 Thomas Vista,Heard Island and McDonald Islands,small
265,Global Motors,218 Flores Stream Apt. 533,Cambodia,medium
266,Nova Vehicles,666 Douglas Club Suite 283,Somalia,small
267,Precision Innovations,2929 Baker Forest Apt. 227,Tonga,small
268,Hyper Tech,04791 Holland Courts Apt. 738,"Bolivia, Plurinational State of",big
269,Rapid Manufacturing,91749 Park Underpass,Cuba,small
270,Advanced Technologies,31982 Santos Road Apt. 032,Burkina Faso,medium
271,Zenith Systems,299 Carlos Harbors,"Tanzania, United Republic of",small
272,Fusion Fleet,9794 Braun Station,Panama,small
273,Ultra Tech,70554 Myers Brooks,Kyrgyzstan,small
274,Revolution Technologies,331 John Pike Apt. 750,Mexico,medium
275,Pinnacle Manufacturing,9882 Baldwin Shoal Suite 341,Bosnia and Herzegovina,medium
276,Iron Holdings,434 Miller Drive Suite 067,Nigeria,medium
277,Velocity Works,489 Mcdonald Ville,United Kingdom,medium
278,Pro Automotive,04164 Todd Mountains,Pitcairn,small
279,Fusion Industries,629 Adams Well Apt. 035,Cyprus,big
280,Prime Tech,106 Morris Stravenue Apt. 562,Russian Federation,medium
281,Quantum Enterprises,57725 Sweeney Lodge,Christmas Island,small
282,Turbo Vehicles,118 Anderson Bridge Suite 736,Australia,small
283,Prime Holdings,0492 Ramirez Crossing,Türkiye,small
284,Future Technologies,20155 Bradford Gardens Suite 974,French Polynesia,small
285,Auto Mechanics,6010 Mark Fords,Romania,medium
286,Hyper Corp,184 Curtis Ridges Suite 031,"Tanzania, United Republic of",medium
287,Turbo Performance,2274 Scott Village,Gibraltar,medium
288,Nova Holdings,601 Kyle Roads,Paraguay,big
289,NextGen Cars,46379 Lopez Route Apt. 969,Brazil,small
290,Nova Designs,5857 Gilmore Stravenue,Central African Republic,small
291,Power Technologies,4223 Morris Brooks Suite 794,Libya,big
292,Rapid Motors,17823 Bean Rapids,Cabo Verde,small
293,Pro Performance,207 Mcclain Turnpike Suite 503,French Guiana,medium
294,Speed Fleet,72188 Austin Fords,New Caledonia,small
295,Fusion Enterprises,0875 James Hill,Romania,medium
296,Ultra Corp,8410 Michael Row Suite 634,El Salvador,small
297,Velocity Developments,8064 Moore Spring Suite 699,Saint Lucia,medium
298,Global Technologies,8546 Michael Manors Suite 741,Brazil,medium
299,Power Manufacturing,3609 Moore View,Italy,small
300,Pinnacle Designs,12903 Alejandro Pike Suite 624,Romania,medium
301,Global Vehicles,4802 Moore Coves Apt. 744,"Saint Helena, Ascension and Tristan da Cunha",small
302,Global Engineering,0945 Jones Track Suite 374,Oman,medium
303,Revolution Manufacturing,1600 Miguel Hill,Bosnia and Herzegovina,small
304,Iron Technologies,00902 Terry Common Apt. 082,Andorra,big
305,Power Fleet,19131 Reynolds Crescent,Tonga,big
306,Velocity Transport,782 Devon Landing Suite 821,Falkland Islands (Malvinas),big
307,Zenith Designs,831 Kemp Pines,Barbados,big
308,Hyper Fleet,986 Allen Square Apt. 296,Sweden,medium
309,Rapid Manufacturing,458 Smith Alley Apt. 432,San Marino,big
310,Precision Designs,77244 Monica Extensions,Saudi Arabia,big
311,Dynamic Holdings,531 Thomas Glen Suite 319,Montenegro,big
312,Titan Transport,6146 Johnson Isle,Indonesia,medium
313,Pinnacle Fleet,0684 Samantha Cape,Costa Rica,small
314,Turbo Solutions,156 Kim Grove Apt. 245,Mali,big
315,Iron Fleet,73999 Ricky Via,Central African Republic,small
316,Nova Manufacturing,0092 Jackson Lodge,Vanuatu,small
317,Hyper Innovations,830 Shawn Plains,Botswana,medium
318,Rapid Motors,955 Wilson Turnpike Apt. 652,Kazakhstan,big
319,Super Autoworks,69039 Gutierrez Lock Apt. 266,Anguilla,medium
320,Pinnacle Designs,341 Rebekah Alley Suite 212,Niue,small
321,Revolution Systems,64865 Henry Crest Suite 954,Djibouti,big
322,Super Cars,469 Vincent Rue Apt. 646,Saint Lucia,small
323,Prime Automotive,68140 Trevor Valleys,Réunion,small
324,Super Transport,587 Peters Street Suite 929,Central African Republic,big
325,Pinnacle Motors,534 Jones Court,Saint Kitts and Nevis,small
326,Global Cars,727 Mathis Wall,Türkiye,big
327,Hyper Engineering,4758 Kimberly Lake,Guinea-Bissau,medium
328,NextGen Fleet,8914 William Drive Apt. 530,Western Sahara,big
329,Precision Corp,7198 Donald Mountain,Guinea,big
330,Precision Dynamics,414 Mora Mountain,Réunion,small
331,Auto Systems,51191 Sandoval Prairie Suite 207,French Southern Territories,medium
332,Infinity Performance,3164 Reynolds Park Suite 263,Libya,big
333,Dynamic Fleet,341 Steven Lake Suite 753,Panama,small
334,NextGen Performance,2537 Collin Radial,Sweden,big
335,Super Technologies,521 Martin Knolls Apt. 165,Fiji,medium
336,Apex Tech,5034 Geoffrey Point Apt. 731,France,small
337,Nova Developments,106 Peter Oval Apt. 201,Hungary,medium
338,Precision Automotive,169 Juan Ports,Mayotte,medium
339,Elite Fleet,46287 Gallagher Road,Jamaica,big
340,Elite Works,642 Mallory Corner,Serbia,medium
341,Super Machines,857 Martin Manors,Botswana,medium
342,Power Engineering,0252 Perez Fort Apt. 276,Philippines,big
343,Pro Holdings,3152 Joel Plaza,Spain,medium
344,Future Mechanics,759 Valenzuela Shore Suite 409,Estonia,small
345,Auto Engineering,3881 Gonzales Creek,Colombia,small
346,Ultra Holdings,8889 Berg Island,French Guiana,big
347,Auto Designs,57280 Drake Alley Apt. 802,Nauru,big
348,Super Holdings,54310 Jessica Tunnel,Burkina Faso,small
349,Nova Machines,8956 Philip Canyon Apt. 907,Greece,big
350,Infinity Developments,2319 Sarah Turnpike,Afghanistan,medium
351,Apex Motors,4758 Henry Valleys Suite 847,Norway,big
352,Auto Innovations,5640 Mary Station Suite 466,Saint Barthélemy,big
353,Power Systems,73293 Molly Groves,Burundi,small
354,Evo Systems,271 Giles Mews,Sweden,small
355,Apex Cars,08011 Dylan Fords,Lesotho,medium
356,Pro Manufacturing,1167 Matthew Pike Apt. 939,"Korea, Republic of",big
357,Pro Trucks,412 Larsen Court Apt. 224,Sint Maarten (Dutch part),medium
358,Ultra Vehicles,527 Payne Throughway Apt. 600,Niger,big
359,Velocity Corp,6356 Mark Orchard,Suriname,big
360,Global Motors,3605 Jackson Corners Suite 709,Panama,small
361,Iron Works,89571 Fuentes Groves,Guinea,big
362,Power Dynamics,0607 David Viaduct Suite 549,Colombia,medium
363,Ultra Works,7095 Robert Burg,Mexico,big
364,Velocity Mechanics,92168 Kane Place Apt. 652,Spain,small
365,Titan Mechanics,211 Daniel Neck Apt. 065,United Kingdom,medium
366,Revolution Systems,9478 Larry Mission Suite 370,Grenada,small
367,Titan Works,539 Carter Estates Apt. 431,Saint Kitts and Nevis,medium
368,Precision Works,624 Page Road Apt. 601,Belgium,small
369,Revolution Designs,6119 Amanda Forge,Uruguay,medium
370,Velocity Tech,789 Kendra Valleys Apt. 999,"Micronesia, Federated States of",medium
371,Pinnacle Tech,4380 Jones Run,Faroe Islands,big
372,Fusion Corp,327 Abigail Ports,Croatia,small
373,Infinity Corp,58095 Kline Turnpike,Canada,big
374,Quantum Tech,409 Gomez Isle,Croatia,small
375,Advanced Tech,1492 Johnson Bridge Suite 063,Finland,small
376,Ultra Mechanics,740 Hannah Motorway Apt. 001,Japan,medium
377,Velocity Systems,6923 Anthony Canyon,Türkiye,small
378,Precision Systems,4260 Mccoy Path Apt. 859,Mayotte,big
379,Pinnacle Motors,067 Mary Flats,Burundi,medium
380,Quantum Industries,2933 James Hill Suite 542,Belgium,small
381,Titan Motors,640 Salinas Creek,Norfolk Island,small
382,Velocity Innovations,63662 Stephenson Spurs Suite 098,Guadeloupe,big
383,Velocity Machines,86739 Amber Drives,Christmas Island,big
384,Auto Developments,0512 Amy Glens,Peru,big
385,NextGen Autoworks,2083 Estrada Groves,Morocco,small
386,Nova Trucks,39435 Heather Grove Suite 540,Myanmar,medium
387,Advanced Tech,154 Sabrina Fort Apt. 336,United States,small
388,Fusion Transport,425 Johnson Place,Somalia,big
389,Precision Transport,614 William Street,Tuvalu,big
390,Speed Mechanics,86852 Lauren Heights,"Congo, The Democratic Republic of the",small
391,Pinnacle Vehicles,74389 Chris Union Apt. 564,Northern Mariana Islands,big
392,Future Innovations,27582 Sarah Mount Suite 759,Somalia,small
393,NextGen Motors,2406 Steven Fall Apt. 163,Heard Island and McDonald Islands,small
394,Infinity Mechanics,169 Hooper Burgs Apt. 668,Belize,big
395,Iron Fleet,32118 Kenneth Oval Apt. 629,Brazil,small
396,Pro Fleet,2052 William Rest,Tunisia,big
397,Rapid Machines,81789 Mitchell Ridges,Panama,medium
398,Evo Trucks,06485 Vickie Junctions,Romania,small
399,Velocity Machines,172 Emily Mill Suite 547,Myanmar,medium
400,Future Autoworks,5355 Browning Stravenue,Isle of Man,small
401,Turbo Tech,06984 Leon Brooks Apt. 506,Guinea,big
402,Speed Holdings,20843 Sanchez Port,Saint Barthélemy,small
403,Turbo Innovations,65401 Hill Light,Honduras,small
404,Velocity Designs,70202 Christopher Trafficway,Lebanon,medium
405,Dynamic Trucks,337 Collins Turnpike,Turkmenistan,big
406,Auto Technologies,857 John Streets Apt. 312,Qatar,medium
407,Auto Engineering,98199 Chavez Mission,Brunei Darussalam,medium
408,Turbo Automotive,98583 Cheryl Plaza Suite 698,Nicaragua,big
409,Titan Holdings,9936 Hawkins Inlet,Madagascar,medium
410,Revolution Works,9484 Griffin Radial,Denmark,small
411,Quantum Innovations,1650 Maureen Stravenue Suite 918,Iceland,medium
412,Dynamic Machines,000 Goodman Creek,Lesotho,medium
413,Quantum Machines,3484 Gonzalez Summit,Bermuda,small
414,Infinity Solutions,774 Smith Walks Suite 151,Hong Kong,big
415,Pro Works,7454 Jenna Plaza,Åland Islands,big
416,Dynamic Engineering,4711 Angela Trail Suite 555,Wallis and Futuna,small
417,Iron Developments,5247 Amber Hollow,Saint Kitts and Nevis,big
418,Ultra Transport,9515 Lindsey Village Apt. 594,Kuwait,small
419,Advanced Designs,0723 Levy Crescent Apt. 676,South Africa,small
420,Mega Trucks,0074 Heather Mountain,Japan,small
421,Evo Trucks,680 Garcia Centers,Brazil,small
422,Quantum Cars,6894 Matthew Prairie,Tunisia,big
423,Dynamic Systems,5308 Scott Station Apt. 650,"Venezuela, Bolivarian Republic of",medium
424,Apex Tech,183 Lori Plain,Jamaica,medium
425,Revolution Transport,39787 White Greens Apt. 054,Turkmenistan,big
426,Pro Motors,436 Brian Trafficway Apt. 295,Botswana,medium
427,Speed Vehicles,08292 Donald Plaza,South Georgia and the South Sandwich Islands,small
428,Mega Tech,6054 Osborne Track,Tunisia,small
429,Evo Trucks,90555 Valerie Springs,"Virgin Islands, British",small
